d_model,seq_len,fwd (ms),bwd (ms),mem before bwd (MB)
16,256,0.20 ± 0.01,0.50 ± 0.01,22.9
16,1024,0.45 ± 0.01,1.21 ± 0.05,114.8
16,4096,4.30 ± 0.01,10.57 ± 0.03,1562.2
16,8192,15.37 ± 0.03,37.46 ± 0.06,6180.2
16,16384,OOM,OOM,OOM
32,256,0.18 ± 0.01,0.50 ± 0.02,23.5
32,1024,0.41 ± 0.01,1.06 ± 0.02,117.2
32,4096,4.53 ± 0.02,10.81 ± 0.03,1572.2
32,8192,16.24 ± 0.01,38.34 ± 0.04,6200.2
32,16384,OOM,OOM,OOM
64,256,0.18 ± 0.01,0.50 ± 0.02,24.8
64,1024,0.44 ± 0.01,1.11 ± 0.02,122.2
64,4096,4.98 ± 0.02,11.28 ± 0.03,1592.2
64,8192,18.05 ± 0.01,40.19 ± 0.04,6240.2
64,16384,OOM,OOM,OOM
128,256,0.18 ± 0.01,0.50 ± 0.02,27.2
128,1024,0.50 ± 0.00,1.17 ± 0.02,132.2
128,4096,5.84 ± 0.02,12.19 ± 0.03,1632.2
128,8192,21.48 ± 0.03,43.74 ± 0.13,6320.2
128,16384,OOM,OOM,OOM
